seed patch,detected target,buggy function,spec_target,spec_predicate,generated_query,localization_error,candidate_count,expected_function_found
a508e33956b5,of_parse_phandle,amx3_idle_init,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
a508e33956b5,of_parse_phandle,cdx_msi_domain_init,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
a508e33956b5,of_parse_phandle,imx_pcie_probe,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
a508e33956b5,of_parse_phandle,omap_usb2_probe,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
a508e33956b5,of_parse_phandle,rcar_drif_bond_enabled,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
a508e33956b5,of_parse_phandle,simplefb_get_memory_of,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
a508e33956b5,of_parse_phandle,tegra210_xusb_padctl_probe,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
a508e33956b5,of_parse_phandle,thermal_of_cm_lookup,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
a508e33956b5,of_parse_phandle,vexpress_syscfg_probe,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
b505063910c1,debugfs_lookup,drm_debugfs_remove_files,A call to function debugfs_lookup that returns a dentry pointer,"The returned dentry must have dput() called on it to prevent memory leak, or debugfs_lookup_and_remove() should be used instead","'$dentry = debugfs_lookup(_, _);'",,14,True
b505063910c1,debugfs_lookup,hisi_acc_vfio_debug_init,A call to function debugfs_lookup that returns a dentry pointer,"The returned dentry must have dput() called on it to prevent memory leak, or debugfs_lookup_and_remove() should be used instead","'$dentry = debugfs_lookup(_, _);'",,14,True
b505063910c1,debugfs_lookup,iwl_mld_add_link_debugfs,A call to function debugfs_lookup that returns a dentry pointer,"The returned dentry must have dput() called on it to prevent memory leak, or debugfs_lookup_and_remove() should be used instead","'$dentry = debugfs_lookup(_, _);'",,14,True
b505063910c1,debugfs_lookup,margining_port_init,A call to function debugfs_lookup that returns a dentry pointer,"The returned dentry must have dput() called on it to prevent memory leak, or debugfs_lookup_and_remove() should be used instead","'$dentry = debugfs_lookup(_, _);'",,14,True
c158cf914713,fwnode_get_named_child_node,mv88e6xxx_port_setup_leds,A call to function fwnode_get_named_child_node,The returned fwnode pointer must be released with fwnode_handle_put.,"'fwnode_get_named_child_node(_, _);'",,33,True
c158cf914713,fwnode_get_named_child_node,mvpp2_use_acpi_compat_mode,A call to function fwnode_get_named_child_node,The returned fwnode pointer must be released with fwnode_handle_put.,"'fwnode_get_named_child_node(_, _);'",,33,True
c158cf914713,of_graph_get_endpoint_by_regs,mtk_dp_dt_parse,A call to of_graph_get_endpoint_by_regs(),The returned device_node pointer must be released with of_node_put() when no longer needed,'of_graph_get_endpoint_by_regs();',,78,True
c158cf914713,of_graph_get_endpoint_by_regs,samsung_dsim_parse_dt,A call to of_graph_get_endpoint_by_regs(),The returned device_node pointer must be released with of_node_put() when no longer needed,'of_graph_get_endpoint_by_regs();',,78,True
c158cf914713,of_graph_get_endpoint_by_regs,sii902x_probe,A call to of_graph_get_endpoint_by_regs(),The returned device_node pointer must be released with of_node_put() when no longer needed,'of_graph_get_endpoint_by_regs();',,78,True
c158cf914713,of_graph_get_remote_endpoint,sun4i_tcon_of_get_id_from_port,A call to of_graph_get_remote_endpoint(),The returned device_node pointer must be released with of_node_put() when no longer needed,'of_graph_get_remote_endpoint();',,19,True
c158cf914713,of_slim_get_device,qcom_slim_ngd_notify_slaves,A call to of_slim_get_device(),The returned slim_device reference must be released with the corresponding put function when no longer needed,'of_slim_get_device();',,3,True
e3862093ee93,pci_get_device,octep_sriov_enable,pci_get_device() function that returns a PCI device object,"When the returned pci_dev pointer is no longer needed, its reference count must be decremented by calling pci_dev_put()","'pci_get_device(_, _, _);'",,158,True
e3862093ee93,pci_get_device,pas_setup_mce_regs,pci_get_device() function that returns a PCI device object,"When the returned pci_dev pointer is no longer needed, its reference count must be decremented by calling pci_dev_put()","'pci_get_device(_, _, _);'",,158,True
e3862093ee93,pci_get_device,pasemi_dma_init,pci_get_device() function that returns a PCI device object,"When the returned pci_dev pointer is no longer needed, its reference count must be decremented by calling pci_dev_put()","'pci_get_device(_, _, _);'",,158,True
e3862093ee93,pci_get_subsys,nforce2_detect_chipset,Function pci_get_subsys that searches for and returns a reference to a PCI device,"When the returned pci_dev pointer is no longer needed, its reference count must be decremented by calling pci_dev_put() to prevent memory leaks",'pci_get_subsys();',,9,True
e3862093ee93,pci_get_subsys,nforce2_fsb_read,Function pci_get_subsys that searches for and returns a reference to a PCI device,"When the returned pci_dev pointer is no longer needed, its reference count must be decremented by calling pci_dev_put() to prevent memory leaks",'pci_get_subsys();',,9,True
f89672cc3681,memdup_user_nul,bnad_debugfs_write_regrd,memdup_user_nul function that copies user data with size parameter len,The len parameter must be validated to be within reasonable bounds (greater than or equal to 0 and less than a maximum safe allocation size) before performing allocation and copy operations to prevent integer overflow and excessive memory allocation,"'memdup_user_nul(_, _);'",,100,True
f89672cc3681,memdup_user_nul,bnad_debugfs_write_regwr,memdup_user_nul function that copies user data with size parameter len,The len parameter must be validated to be within reasonable bounds (greater than or equal to 0 and less than a maximum safe allocation size) before performing allocation and copy operations to prevent integer overflow and excessive memory allocation,"'memdup_user_nul(_, _);'",,100,True
f89672cc3681,memdup_user_nul,idt_dbgfs_csr_write,memdup_user_nul function that copies user data with size parameter len,The len parameter must be validated to be within reasonable bounds (greater than or equal to 0 and less than a maximum safe allocation size) before performing allocation and copy operations to prevent integer overflow and excessive memory allocation,"'memdup_user_nul(_, _);'",,100,True
f89672cc3681,memdup_user_nul,led_proc_write,memdup_user_nul function that copies user data with size parameter len,The len parameter must be validated to be within reasonable bounds (greater than or equal to 0 and less than a maximum safe allocation size) before performing allocation and copy operations to prevent integer overflow and excessive memory allocation,"'memdup_user_nul(_, _);'",,100,True
f89672cc3681,memdup_user_nul,ofdt_write,memdup_user_nul function that copies user data with size parameter len,The len parameter must be validated to be within reasonable bounds (greater than or equal to 0 and less than a maximum safe allocation size) before performing allocation and copy operations to prevent integer overflow and excessive memory allocation,"'memdup_user_nul(_, _);'",,100,True
f89672cc3681,memdup_user_nul,proc_write_simdisk,memdup_user_nul function that copies user data with size parameter len,The len parameter must be validated to be within reasonable bounds (greater than or equal to 0 and less than a maximum safe allocation size) before performing allocation and copy operations to prevent integer overflow and excessive memory allocation,"'memdup_user_nul(_, _);'",,100,True
f89672cc3681,simple_write_to_buffer,ad3552r_hs_write_data_source,simple_write_to_buffer function that copies user data to a buffer with position and count parameters,The count parameter must be validated to be non-zero and the effective write size (count adjusted for position) must not exceed the available buffer space (available - pos) before performing the copy_from_user operation,"'simple_write_to_buffer(_, _, _, _, _);'",,72,True
