hexsha,similar_target,target,predicate,generalized_target,generalized_predicate,spec_target,spec_predicate,reason,evidence,similarity_score
10d6bdf53290,backlight_device_get_by_name,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",backlight_device_get_by_name() function that acquires a reference to a backlight device,"The returned backlight device reference must be properly released with put_device(&backlight_dev->dev) when the device is no longer needed, before all possible exit paths from the calling function",Function calls class_find_device_by_name() which acquires a device reference that must be released,"backlight.c:1: 'dev = class_find_device_by_name(&backlight_class, name);' - acquires device reference; usage example 1: 'put_device(&kbd->backlight_dev->dev);' - caller properly releases reference; usage example 2: 'put_device(&bd->dev);' - caller properly releases reference",0.3814110159873962
10d6bdf53290,class_find_device_by_name,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",A call to class_find_device_by_name() that acquires a reference to a device object,"The reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",Function acquires device reference via class_find_device() and usage examples show reference leaks,Usage Example 2: wpan_phy_find returns device without put_device(); Usage Example 3: mdio_find_bus returns device without put_device(); Usage Example 1: rtc_class_open correctly calls put_device() on error path,0.3782416582107544
e3862093ee93,pci_get_device,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",pci_get_device() function that returns a PCI device object,"When the returned pci_dev pointer is no longer needed, its reference count must be decremented by calling pci_dev_put()",pci_get_device acquires a reference to a PCI device object that must be released with pci_dev_put() to prevent reference leaks,Usage Example 1: pci_dev_put(dma_dev) called in both success and error paths; Usage Example 2: pci_dev_put(pdev) called after each pci_get_device() use; Usage Example 3: pci_dev_put(alim7101_pmu) and pci_dev_put(ali1543_south) called for cleanup,0.376589298248291
e3862093ee93,pci_get_subsys,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",Function pci_get_subsys that searches for and returns a reference to a PCI device,"When the returned pci_dev pointer is no longer needed, its reference count must be decremented by calling pci_dev_put() to prevent memory leaks",pci_get_subsys acquires a reference to a PCI device object that must be released with pci_dev_put() when no longer needed,Usage Example 1: speedstep_detect_chipset() calls pci_dev_put(hostbridge) to release the reference; Usage Example 2: nforce2_fsb_read() missing pci_dev_put(nforce2_sub5) - potential reference leak; Usage Example 3: nforce2_detect_chipset() missing pci_dev_put(nforce2_dev) - potential reference leak,0.3736975789070129
e3862093ee93,get_device,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",A call to get_device() that increments the reference count of a device object,The device object must have its reference count decremented by calling put_device() when no longer needed to prevent memory leaks,The get_device function increments reference count and requires corresponding put_device calls to prevent memory leaks,get_device.c:1: 'return dev ? kobj_to_dev(kobject_get(&dev->kobj)) : NULL;' - increments reference via kobject_get; usage example 1: get_device(hif->dev) without visible put_device in same function; usage example 2: get_device(&rpmb->dev) in open function suggests need for put_device in close; usage example 3: get_device(&host->card->dev) followed by put_device(&host->card->dev) showing proper pairing,0.5019923150539398
e3862093ee93,xe_pm_runtime_get_if_in_use,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",xe_pm_runtime_get_if_in_use() function that conditionally acquires a runtime PM reference on an xe_device,"When xe_pm_runtime_get_if_in_use() returns true, indicating a runtime PM reference was acquired, the caller must eventually call xe_pm_runtime_put() or equivalent to decrement the reference count",Function acquires runtime PM reference that must be balanced with corresponding release call,xe_pm_runtime.c:8: 'pm_runtime_get_noresume(xe->drm.dev);' - acquires reference without resume; xe_pm_runtime.c:11: 'return pm_runtime_get_if_in_use(xe->drm.dev) > 0;' - conditionally acquires reference; Usage Example 1: caller checks return value and takes additional reference if false; Usage Example 2: return value used as wakeref token indicating reference was taken,0.4728456735610962
e3862093ee93,iio_device_get,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",iio_device_get() function that increments reference count for an IIO device,"When the IIO device object obtained from iio_device_get() is no longer needed, its reference count must be decremented by calling iio_device_put()","iio_device_get() increments the reference count of an IIO device object via get_device(), and the usage examples show that iio_device_put() is consistently called to decrement the reference count when the device is no longer needed",iio_device_get implementation calls get_device(&indio_dev->dev) which increments reference count; Usage Example 1: iio_device_put(indio_dev) called in error path after iio_device_get(); Usage Example 2: iio_device_put(indio_dev) called in error_iio_dev_put label after iio_device_get(); Usage Example 3: iio_device_put(c->indio_dev) called in error_no_mem label after iio_device_get(),0.463665246963501
e3862093ee93,gpio_device_get,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",gpio_device_get function that acquires a reference to a GPIO device,"When the GPIO device object returned by gpio_device_get is no longer needed, its reference count must be decremented by calling gpio_device_put()",gpio_device_get increases device reference count and requires balanced release to prevent memory leaks,gpio_device.c:1: 'return to_gpio_device(get_device(&gdev->dev));' - increments reference count; usage example 1: gpio_device_find returns device with increased refcount to caller; usage example 3: linehandle_create stores device reference in lh->gdev for extended lifetime,0.4364945292472839
e3862093ee93,dvb_device_get,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",dvb_device_get() function that increments the reference count of a dvb_device object,"When the dvb_device object returned by dvb_device_get() is no longer needed, its reference count must be decremented by calling dvb_device_put()","dvb_device_get() increments the reference count of a dvb_device object via kref_get(), requiring callers to balance this with dvb_device_put() when done",dvb_device.c:1: 'kref_get(&dvbdev->ref);' - increments reference count; usage example 1: dvb_device_open() calls dvb_device_get() and balances with dvb_device_put() on error path; usage example 2: dvb_register_device() calls dvb_device_get() to store reference in dvb_minors array,0.4182546138763428
e3862093ee93,usb_get_urb,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",A call to usb_get_urb() that increments the reference count of a URB object,"When the URB object is no longer needed, its reference count must be decremented by calling usb_put_urb() or usb_free_urb() to balance the reference count","usb_get_urb increments the reference count of a URB object, and all usage examples show proper pairing with usb_put_urb to decrement the reference count",usb_get_urb.c:3: 'kref_get(&urb->kref)' - increments reference count; Usage Example 1: usb_get_urb(urb) followed by usb_free_urb(urb); Usage Example 2: usb_get_urb(urb) followed by usb_put_urb(urb); Usage Example 3: usb_get_urb(urb) followed by usb_put_urb(urb),0.4173157215118408
f89672cc3681,memdup_user_nul,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked to be greater than 0 and less than or equal to the size of the destination buffer.,function that copies user-provided data with a size parameter,The size parameter must be validated to be within valid bounds (greater than 0 and less than or equal to the destination buffer size) before performing the copy operation.,memdup_user_nul function that copies user data with size parameter len,The len parameter must be validated to be within reasonable bounds (greater than or equal to 0 and less than a maximum safe allocation size) before performing allocation and copy operations to prevent integer overflow and excessive memory allocation,"Function allocates len+1 bytes and accesses p[len] without validating len parameter, creating risks of integer overflow and excessive allocation","memdup_user_nul:5: 'p = kmem_buckets_alloc_track_caller(user_buckets, len + 1, GFP_USER | __GFP_NOWARN);' - allocates len+1 without bounds check; memdup_user_nul:12: 'p[len] = '\0';' - accesses array at index len without validation; usage example 2: copyin_string validates len before calling, showing need for bounds checking",0.4396446943283081
f89672cc3681,memdup_user_nul,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked for being less than 1 or greater than the buffer size before being used.,function that copies data from user space with a size parameter,The size parameter must be validated to ensure it is within the bounds of the destination buffer and greater than 0 before being used for the copy operation.,memdup_user_nul function that copies data from user space with a len parameter,"The len parameter must be validated to ensure it is greater than 0 and does not cause integer overflow when adding 1 for null termination, and the resulting allocation size must be within reasonable bounds before being used for memory allocation and copy operations","memdup_user_nul copies data from user space with a size parameter that lacks proper validation, creating potential security vulnerabilities","memdup_user_nul:3-4: 'p = kmem_buckets_alloc_track_caller(user_buckets, len + 1, GFP_USER | __GFP_NOWARN);' - allocates len+1 bytes without validating len bounds; memdup_user_nul:8: 'if (copy_from_user(p, src, len))' - copies len bytes without size validation; Usage Example 3:11: 'if (len > DRM_CLIENT_NAME_MAX_LEN)' - shows callers need to validate size before calling memdup_user_nul; memdup_user_nul:11: 'p[len] = '\0';' - accesses p[len] without ensuring len is valid",0.5194701850414276
f89672cc3681,simple_write_to_buffer,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked to be greater than 0 and less than or equal to the size of the destination buffer.,function that copies user-provided data with a size parameter,The size parameter must be validated to be within valid bounds (greater than 0 and less than or equal to the destination buffer size) before performing the copy operation.,simple_write_to_buffer function that copies user data to a buffer with position and count parameters,The count parameter must be validated to be non-zero and the effective write size (count adjusted for position) must not exceed the available buffer space (available - pos) before performing the copy_from_user operation,Function copies user data with size parameter and performs comprehensive bounds validation,"simple_write_to_buffer:6-7: 'if (pos >= available || !count) return 0;' - validates position within bounds and non-zero count; simple_write_to_buffer:8-9: 'if (count > available - pos) count = available - pos;' - clamps count to prevent buffer overflow; simple_write_to_buffer:10: 'res = copy_from_user(to + pos, from, count);' - performs the actual copy with validated parameters; Usage Example 2:12-13: 'if (size >= sizeof(buf)) return -EINVAL;' - caller validates size before calling function",0.4490442276000976
f89672cc3681,memdup_array_user,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked to be greater than 0 and less than or equal to the size of the destination buffer.,function that copies user-provided data with a size parameter,The size parameter must be validated to be within valid bounds (greater than 0 and less than or equal to the destination buffer size) before performing the copy operation.,memdup_array_user function that duplicates arrays from user space with count and element size parameters,The count parameter (n) must be validated to be greater than 0 and the total allocation size (n * size) must not exceed reasonable memory limits or cause integer overflow before performing the copy operation,memdup_array_user copies user-provided data with size parameters (n * size) and needs validation to prevent integer overflow and excessive memory allocation,Usage Example 1: hdr.count used as n parameter after validation 'if (!hdr.count || (hdr.start + hdr.count > feature->nr_irqs))'; Usage Example 2: fixed value 256 used as n parameter for gamma table; Usage Example 3: ct parameter used as n after validation 'if (ct >= MAX_DIACR) return -EINVAL;',0.5662200450897217
f89672cc3681,memdup_array_user,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked for being less than 1 or greater than the buffer size before being used.,function that copies data from user space with a size parameter,The size parameter must be validated to ensure it is within the bounds of the destination buffer and greater than 0 before being used for the copy operation.,memdup_array_user function that copies an array from user space using count (n) and element size parameters,The count parameter (n) must be validated to ensure n > 0 and that n * size does not cause integer overflow or exceed reasonable memory allocation limits before performing the copy operation,memdup_array_user copies data from user space with size parameters (n * size) that need validation to prevent integer overflow and excessive memory allocation,"Usage Example 1: viafb_gamma_table = memdup_array_user(argp, 256, sizeof(u32)); - copies 256 * sizeof(u32) bytes from user space; Usage Example 2: dia = memdup_array_user(a->kbdiacr, ct, sizeof(struct kbdiacr)); - ct comes from user via get_user(ct, &a->kb_cnt) and is validated with 'if (ct >= MAX_DIACR) return -EINVAL;'; Usage Example 3: fds = memdup_array_user((void __user *)(arg + sizeof(hdr)), hdr.count, sizeof(s32)); - hdr.count comes from user and is validated with bounds checks",0.626842737197876
f89672cc3681,vmemdup_array_user,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked to be greater than 0 and less than or equal to the size of the destination buffer.,function that copies user-provided data with a size parameter,The size parameter must be validated to be within valid bounds (greater than 0 and less than or equal to the destination buffer size) before performing the copy operation.,vmemdup_array_user function that duplicates arrays from user space with count and element size parameters,The count parameter (n) must be validated to be greater than 0 and the multiplication (n * size) must be checked for integer overflow and against reasonable memory allocation limits before performing the copy operation,vmemdup_array_user copies user-provided data with size parameters (n * size) and needs validation to prevent integer overflow and excessive memory allocation,"Usage Example 1: vmemdup_array_user(list, ct, sizeof(*unilist)) - ct comes from user ioctl parameter; Usage Example 2: vmemdup_array_user(entries, cpuid->nent, sizeof(*e)) - cpuid->nent validated against KVM_MAX_CPUID_ENTRIES before call; Usage Example 3: vmemdup_array_user(entries, cpuid->nent, sizeof(*e2)) - cpuid->nent validated against KVM_MAX_CPUID_ENTRIES before call",0.5375312566757202
f89672cc3681,vmemdup_array_user,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked for being less than 1 or greater than the buffer size before being used.,function that copies data from user space with a size parameter,The size parameter must be validated to ensure it is within the bounds of the destination buffer and greater than 0 before being used for the copy operation.,vmemdup_array_user function that allocates and copies an array from user space,"The n parameter (array count) and size parameter (element size) must be validated to ensure n > 0, size > 0, and n * size does not overflow and is within reasonable memory allocation limits before performing the copy operation",vmemdup_array_user copies data from user space with size parameters (n * size) that need validation to prevent integer overflow and excessive memory allocation,"Usage Example 1: vmemdup_array_user(entries, cpuid->nent, sizeof(*e)) - cpuid->nent is user-controlled and checked against KVM_MAX_CPUID_ENTRIES before call; Usage Example 2: vmemdup_array_user(entries, cpuid->nent, sizeof(*e2)) - similar pattern with bounds checking; Usage Example 3: vmemdup_array_user(list, ct, sizeof(*unilist)) - ct parameter used directly without visible bounds checking",0.6048786044120789
f89672cc3681,memdup_user,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked to be greater than 0 and less than or equal to the size of the destination buffer.,function that copies user-provided data with a size parameter,The size parameter must be validated to be within valid bounds (greater than 0 and less than or equal to the destination buffer size) before performing the copy operation.,memdup_user function that duplicates user-provided memory with a length parameter,"The len parameter must be validated to be greater than 0 and less than or equal to a reasonable maximum allocation size (e.g., KMALLOC_MAX_SIZE) before performing memory allocation and copy operations",memdup_user copies user-provided data with a size parameter but lacks validation to prevent excessive memory allocation and potential DoS attacks,"memdup_user.c:5: 'p = kmem_buckets_alloc_track_caller(user_buckets, len, GFP_USER | __GFP_NOWARN);' - allocates len bytes without bounds checking; memdup_user.c:10: 'if (copy_from_user(p, src, len))' - copies len bytes without validating size; usage example 1: caller validates 'idata->buf_bytes > MMC_IOC_MAX_BYTES' before calling memdup_user, showing need for bounds checking; usage example 2: caller validates '_IOC_SIZE(cmd)' before calling memdup_user, indicating size validation is expected",0.4917661547660827
f89672cc3681,strndup_user,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked to be greater than 0 and less than or equal to the size of the destination buffer.,function that copies user-provided data with a size parameter,The size parameter must be validated to be within valid bounds (greater than 0 and less than or equal to the destination buffer size) before performing the copy operation.,strndup_user function that duplicates user-provided strings with a maximum length parameter,The length parameter 'n' must be validated to be greater than 0 and the actual string length must not exceed 'n' before performing the memory allocation and copy operation,strndup_user copies user-provided data with a size parameter 'n' that needs validation to prevent buffer overflows and invalid allocations,"strndup_user.c:8-9: 'if (length > n) return ERR_PTR(-EINVAL);' - validates size against user limit; strndup_user.c:5: 'length = strnlen_user(s, n);' - uses size parameter to limit string length calculation; strndup_user.c:11: 'p = memdup_user(s, length);' - performs actual copy with validated length; usage example 1: 'strndup_user(..., PANFROST_BO_LABEL_MAXLEN)' - caller provides maximum size limit; usage example 3: 'strndup_user(ubuf, PAGE_SIZE)' - caller provides buffer size limit",0.4499831795692444
f89672cc3681,strndup_user,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked for being less than 1 or greater than the buffer size before being used.,function that copies data from user space with a size parameter,The size parameter must be validated to ensure it is within the bounds of the destination buffer and greater than 0 before being used for the copy operation.,strndup_user function that copies a string from user space with a maximum length parameter,The length parameter n must be validated to ensure it is greater than 0 and the actual string length does not exceed n before performing the copy operation,strndup_user copies data from user space with size parameter n that needs validation to prevent buffer overflows and invalid operations,strndup_user.c:8-9: 'if (length > n) return ERR_PTR(-EINVAL);' - validates size against maximum; strndup_user.c:5-6: 'if (!length) return ERR_PTR(-EFAULT);' - validates size is greater than 0; usage example 1: 'PANFROST_BO_LABEL_MAXLEN' - callers pass maximum buffer size limits; usage example 2: 'PANTHOR_BO_LABEL_MAXLEN' - callers pass maximum buffer size limits; usage example 3: 'PAGE_SIZE' - caller passes maximum buffer size limit,0.4940429925918579
f89672cc3681,copy_to_user_fromio,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked to be greater than 0 and less than or equal to the size of the destination buffer.,function that copies user-provided data with a size parameter,The size parameter must be validated to be within valid bounds (greater than 0 and less than or equal to the destination buffer size) before performing the copy operation.,copy_to_user_fromio function that copies data from MMIO space to user space with a count parameter,The count parameter must be validated to be greater than 0 and within reasonable bounds relative to the source MMIO region size and destination user buffer capacity before performing the copy operation,"Function copies user-provided data with size parameter but lacks explicit bounds validation, relying on internal mechanisms that may not prevent all buffer overflow scenarios","copy_to_user_fromio.c:5: 'if (import_ubuf(ITER_DEST, dst, count, &iter))' - only validates user buffer access, not size bounds; copy_to_user_fromio.c:7: 'if (copy_to_iter_fromio((const void __iomem *)src, count, &iter) != count)' - performs copy without explicit size validation; usage example: snd_cs4281_BA0_read calls with user-controlled count parameter without prior bounds checking",0.4237922430038452
f89672cc3681,copy_to_user_fromio,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked for being less than 1 or greater than the buffer size before being used.,function that copies data from user space with a size parameter,The size parameter must be validated to ensure it is within the bounds of the destination buffer and greater than 0 before being used for the copy operation.,copy_to_user_fromio function that copies data from memory-mapped I/O space to user space,The count parameter must be validated to ensure it is greater than 0 and within reasonable bounds before being used for the copy operation to prevent buffer overflows and invalid memory access,Function copies data from kernel memory-mapped I/O space to user space with user-controlled size parameter that lacks validation,"copy_to_user_fromio:3: 'if (import_ubuf(ITER_DEST, dst, count, &iter))' - count parameter passed directly without validation; copy_to_user_fromio:5: 'if (copy_to_iter_fromio((const void __iomem *)src, count, &iter) != count)' - count used for copy operation without bounds checking; usage example: snd_cs4281_BA0_read passes user-provided 'count' directly without validation; usage example: all usage examples show count parameter coming from user space without prior validation",0.5203420519828796
f89672cc3681,folio_fill_tail,A call to copy_from_user with a user-provided count parameter.,The count parameter must be checked to be greater than 0 and less than or equal to the size of the destination buffer.,function that copies user-provided data with a size parameter,The size parameter must be validated to be within valid bounds (greater than 0 and less than or equal to the destination buffer size) before performing the copy operation.,folio_fill_tail function that copies data from a source buffer to a folio with user-controlled length parameter,"The len parameter must be validated to be greater than 0 and the sum of offset + len must be less than or equal to folio_size(folio) with proper error handling, not just debug assertions",Function copies user-provided data with size parameter but lacks proper bounds validation,"folio_fill_tail.c:6: 'VM_BUG_ON(offset + len > folio_size(folio));' - only debug assertion, not runtime validation; usage example 1: 'folio_fill_tail(folio, 0, from, dsize);' - dsize from i_size_read could be arbitrary; usage example 2: 'folio_fill_tail(folio, 0, data, rsize);' - rsize from le32_to_cpu could be malicious; usage example 3: 'folio_fill_tail(folio, 0, resident_data(attr) + vbo, len);' - len calculated but not validated against folio bounds",0.398551344871521
