hexsha,target,predicate,generalized_target,generalized_predicate,similar_target,spec_target,spec_predicate,reason,evidence,similarity_score
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",device_find_child,A call to device_find_child() that returns a device with an acquired reference,"The returned device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function","device_find_child() acquires a device reference via get_device() and returns it to callers, who must release it with put_device()",device_find_child:11: 'get_device(child);' - function explicitly takes a reference before returning; usage example 1: 'put_device(&nvdimm->dev);' - caller properly releases reference; usage example 2: 'put_device(dev);' - caller explicitly drops reference with comment about device_find_child bumping refcnt; usage example 3: no put_device() call - potential reference leak,0.4085522294044494
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",of_slim_get_device,of_slim_get_device() function that acquires a reference to a slim device,"The returned slim device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function",Function acquires a reference to a slim device that must be released,Function name pattern 'of_*_get_device' indicates reference acquisition; Usage Example 2: wcd->slim_ifc_dev = of_slim_get_device(...) - stored for long-term use without put_device(); Usage Example 3: wcd->sidev = of_slim_get_device(...) - stored for long-term use without put_device(); All usage examples lack corresponding put_device() calls,0.384814977645874
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",bus_find_device,A call to bus_find_device() that returns a device with an acquired reference,The returned device reference must be released with put_device() when the device is no longer needed,"Function explicitly calls get_device() on found device before returning, acquiring a reference that callers must release",bus_find_device:15: 'get_device(dev);'; usage example 1: put_device(dev);; usage example 3: put_device(dev);,0.3839513063430786
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",backlight_device_get_by_name,backlight_device_get_by_name() function that acquires a reference to a backlight device,"The returned backlight device reference must be properly released with put_device(&backlight_dev->dev) when the device is no longer needed, before all possible exit paths from the calling function",Function calls class_find_device_by_name() which acquires a device reference that must be released,"backlight.c:1: 'dev = class_find_device_by_name(&backlight_class, name);' - acquires device reference; usage example 1: 'put_device(&kbd->backlight_dev->dev);' - caller properly releases reference; usage example 2: 'put_device(&bd->dev);' - caller properly releases reference",0.3814110159873962
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",class_find_device_by_name,A call to class_find_device_by_name() that acquires a reference to a device object,"The reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",Function acquires device reference via class_find_device() and usage examples show reference leaks,Usage Example 2: wpan_phy_find returns device without put_device(); Usage Example 3: mdio_find_bus returns device without put_device(); Usage Example 1: rtc_class_open correctly calls put_device() on error path,0.3782416582107544
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",device_find_child_by_name,A call to device_find_child_by_name() that returns a device reference,"The returned device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",device_find_child_by_name acquires a reference to a device object that must be released to prevent memory leaks,Usage Example 1: put_device(&ndns->dev); /* from device_find_child */; Usage Example 2: put_device(victim);; Usage Example 3: put_device(csi_dev);,0.3760472536087036
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",driver_find_device_by_name,A call to driver_find_device_by_name() that returns a device with an acquired reference,The returned device reference must be released with put_device() when the device is no longer needed by the caller,Function acquires a device reference via driver_find_device() that must be released by caller to prevent memory leaks,"driver_find_device_by_name calls driver_find_device() which takes a reference; usage example: get_ccwdev_by_busid() returns device without put_device(), passing reference responsibility to caller",0.3748916387557983
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",bus_find_device_by_name,A call to bus_find_device_by_name() that returns a device reference,"The returned device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function","bus_find_device_by_name acquires a reference to a device object via bus_find_device() and returns it to the caller, requiring proper reference management",Usage Example 2: qm_get_qos_value gets device reference but never releases it with put_device(); Function wraps bus_find_device() which takes a reference per kernel convention; Usage Example 3 shows correct pattern: pci_dev_put() is called to release reference,0.3742429614067077
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",class_find_device_by_fwnode,A call to class_find_device_by_fwnode() that acquires a reference to a device object,"The reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",Function acquires device reference via class_find_device() that must be released to prevent memory leaks,class_find_device_by_fwnode calls class_find_device() which increments device reference count; Usage Example 1: dev = class_find_device_by_fwnode() followed by to_role_switch(dev) without put_device(); Usage Example 2: Same pattern - reference acquired but never released; Usage Example 3: Same pattern - reference leak present,0.3655480742454529
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",driver_find_device_by_of_node,A call to driver_find_device_by_of_node() that acquires a reference to a device object,"The device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",Function acquires device reference via driver_find_device() but all usage examples show reference leaks,"drivers/amba/tegra-ahb.c: dev = driver_find_device_by_of_node(&tegra_ahb_driver.driver, dn); /* no put_device() */; drivers/soc/samsung/exynos-pmu.c: dev = driver_find_device_by_of_node(&exynos_pmu_driver.driver, (void *)pmu_np); /* no put_device() */; drivers/firmware/altera_s10.c: dev = driver_find_device_by_of_node(&altr_sysmgr_driver.driver, (void *)sysmgr_np); /* no put_device() */",0.362902820110321
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",slim_get_device,slim_get_device() function that acquires a reference to a SLiM device,"The acquired device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function","Function acquires device references through find_slim_device() or slim_alloc_device() but never releases them, creating reference leaks","slim_get_device.c:7: 'sbdev = find_slim_device(ctrl, e_addr);' - acquires reference to existing device; slim_get_device.c:9: 'sbdev = slim_alloc_device(ctrl, e_addr, NULL);' - creates device with initial reference; usage example: slim_get_device() called but no corresponding put_device() to release reference",0.3604211807250976
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",netdev_get_by_index,A call to netdev_get_by_index() that acquires a reference to a network device object,"The reference must be properly released with netdev_put() when the device is no longer needed, before all possible exit paths from the function",netdev_get_by_index acquires a reference to a network device object that must be properly released,"netdev_get_by_index calls dev_get_by_index which takes a reference; Usage Example 1: netdev_put(dev, &ctx->dev_tracker) releases the reference on error path; Usage Example 2: netdev_put(dev, &req_info->dev_tracker) releases the reference on error path; Usage Example 3: netdev_put(dev, &dev_tracker) releases the reference after use",0.3589740991592407
10d6bdf53290,A call to of_find_device_by_node() that takes a reference to a device.,The reference must be released with put_device() when the device is no longer needed.,Function that acquires a reference to a device object,"The reference must be properly released with put_device() when the device is no longer needed, before all possible exit paths from the function.",device_find_any_child,A call to device_find_any_child() that returns a reference to a child device,"The reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",device_find_any_child() calls device_find_child() which acquires a reference to the found device that must be released,device_find_any_child calls device_find_child() which takes a reference; Usage Example 1: put_device(child) called correctly; Usage Example 2: put_device(child) called correctly; Usage Example 3: missing put_device(child_dev) - reference leak bug,0.3538087606430053
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",get_device,A call to get_device() that increments the reference count of a device object,The device object must have its reference count decremented by calling put_device() when no longer needed to prevent memory leaks,The get_device function increments reference count and requires corresponding put_device calls to prevent memory leaks,get_device.c:1: 'return dev ? kobj_to_dev(kobject_get(&dev->kobj)) : NULL;' - increments reference via kobject_get; usage example 1: get_device(hif->dev) without visible put_device in same function; usage example 2: get_device(&rpmb->dev) in open function suggests need for put_device in close; usage example 3: get_device(&host->card->dev) followed by put_device(&host->card->dev) showing proper pairing,0.5019923150539398
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",xe_pm_runtime_get_if_in_use,xe_pm_runtime_get_if_in_use() function that conditionally acquires a runtime PM reference on an xe_device,"When xe_pm_runtime_get_if_in_use() returns true, indicating a runtime PM reference was acquired, the caller must eventually call xe_pm_runtime_put() or equivalent to decrement the reference count",Function acquires runtime PM reference that must be balanced with corresponding release call,xe_pm_runtime.c:8: 'pm_runtime_get_noresume(xe->drm.dev);' - acquires reference without resume; xe_pm_runtime.c:11: 'return pm_runtime_get_if_in_use(xe->drm.dev) > 0;' - conditionally acquires reference; Usage Example 1: caller checks return value and takes additional reference if false; Usage Example 2: return value used as wakeref token indicating reference was taken,0.4728456735610962
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",iio_device_get,iio_device_get() function that increments reference count for an IIO device,"When the IIO device object obtained from iio_device_get() is no longer needed, its reference count must be decremented by calling iio_device_put()","iio_device_get() increments the reference count of an IIO device object via get_device(), and the usage examples show that iio_device_put() is consistently called to decrement the reference count when the device is no longer needed",iio_device_get implementation calls get_device(&indio_dev->dev) which increments reference count; Usage Example 1: iio_device_put(indio_dev) called in error path after iio_device_get(); Usage Example 2: iio_device_put(indio_dev) called in error_iio_dev_put label after iio_device_get(); Usage Example 3: iio_device_put(c->indio_dev) called in error_no_mem label after iio_device_get(),0.463665246963501
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",gpio_device_get,gpio_device_get function that acquires a reference to a GPIO device,"When the GPIO device object returned by gpio_device_get is no longer needed, its reference count must be decremented by calling gpio_device_put()",gpio_device_get increases device reference count and requires balanced release to prevent memory leaks,gpio_device.c:1: 'return to_gpio_device(get_device(&gdev->dev));' - increments reference count; usage example 1: gpio_device_find returns device with increased refcount to caller; usage example 3: linehandle_create stores device reference in lh->gdev for extended lifetime,0.4364945292472839
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",dvb_device_get,dvb_device_get() function that increments the reference count of a dvb_device object,"When the dvb_device object returned by dvb_device_get() is no longer needed, its reference count must be decremented by calling dvb_device_put()","dvb_device_get() increments the reference count of a dvb_device object via kref_get(), requiring callers to balance this with dvb_device_put() when done",dvb_device.c:1: 'kref_get(&dvbdev->ref);' - increments reference count; usage example 1: dvb_device_open() calls dvb_device_get() and balances with dvb_device_put() on error path; usage example 2: dvb_register_device() calls dvb_device_get() to store reference in dvb_minors array,0.4182546138763428
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",usb_get_urb,A call to usb_get_urb() that increments the reference count of a URB object,"When the URB object is no longer needed, its reference count must be decremented by calling usb_put_urb() or usb_free_urb() to balance the reference count","usb_get_urb increments the reference count of a URB object, and all usage examples show proper pairing with usb_put_urb to decrement the reference count",usb_get_urb.c:3: 'kref_get(&urb->kref)' - increments reference count; Usage Example 1: usb_get_urb(urb) followed by usb_free_urb(urb); Usage Example 2: usb_get_urb(urb) followed by usb_put_urb(urb); Usage Example 3: usb_get_urb(urb) followed by usb_put_urb(urb),0.4173157215118408
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",drm_mode_object_get,A call to drm_mode_object_get() that increments the reference count of a DRM mode object,The acquired reference must be released by calling drm_mode_object_put() when the object is no longer needed to prevent memory leaks,"Function acquires reference on DRM mode objects via kref_get(), requiring corresponding release to prevent memory leaks","drm_mode_object_get:4: 'kref_get(&obj->refcount);' - increments reference count; usage example: drm_framebuffer_get() wraps this function, suggesting paired release pattern expected; usage example: drm_property_blob_get() returns object after acquiring reference, implying caller responsibility for release",0.4156450033187866
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",driver_find_device,driver_find_device() function that searches for and returns a device with incremented reference count,"When the device returned by driver_find_device() is no longer needed, its reference count must be decremented by calling put_device()","driver_find_device() calls get_device() on the found device before returning it, incrementing its reference count. The caller must call put_device() to decrement the reference count when done.",driver_find_device source:20: 'get_device(dev);' - increments reference count on found device; Usage Example 1: device_release_driver(dev) is called but no put_device() - potential reference leak; Usage Example 2: board->dev = driver_find_device(...) stores device but no corresponding put_device() visible - potential reference leak; Usage Example 3: companion = driver_find_device(...) stores device but no corresponding put_device() visible - potential reference leak,0.4026684761047363
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",drm_syncobj_get,drm_syncobj_get() function that acquires a reference to a DRM sync object,"When the sync object acquired by drm_syncobj_get() is no longer needed, its reference count must be decremented by calling drm_syncobj_put()","drm_syncobj_get() increments reference count via kref_get(), and usage examples show it's used to acquire references that must be balanced with drm_syncobj_put() calls","drm_syncobj.c:inline: 'kref_get(&obj->refcount)' - increments reference count; usage example 2: drm_syncobj_put(syncobj) called on error path to balance earlier drm_syncobj_get(); usage example 1: drm_syncobj_find() acquires reference that caller must release; usage example 3: drm_syncobj_get() called before storing in file descriptor, requiring eventual release",0.3995996713638305
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",device_find_child,device_find_child function that returns a reference-counted device object,"When the returned device object is no longer needed, its reference count must be decremented by calling put_device() to balance the get_device() call made internally","Function calls get_device() internally, acquiring a reference that must be released",device_find_child.c:12: 'get_device(child);'; usage example 1: 'put_device(&nvdimm->dev);'; usage example 2: 'put_device(dev);',0.3987700939178467
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",usb_core_usb_get_dev,A call to usb_get_dev() that increments the reference count of a USB device structure,The acquired USB device reference must be released with usb_put_dev() when no longer needed to properly decrement the reference count,Function increments USB device reference count and follows standard Linux kernel reference counting pattern requiring balanced put operations,documentation: 'increments the reference count of the usb device structure'; function name pattern: usb_get_dev suggests reference acquisition requiring usb_put_dev; kernel convention: get/put pairs are standard for reference counting,0.3923794031143188
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",netdev_get_by_index,netdev_get_by_index function that acquires a reference to a network device,"When the returned net_device is no longer needed, its reference count must be decremented by calling netdev_put() with the same tracker",netdev_get_by_index acquires a reference to a network device that must be released with netdev_put() to prevent reference leaks,"Usage Example 1: netdev_put(dev, &ctx->dev_tracker) called on error path; Usage Example 2: netdev_put(dev, &req_info->dev_tracker) called on error path; Usage Example 3: netdev_put(dev, &dev_tracker) called after device use; Function calls dev_get_by_index() which typically increments device refcount",0.3774963021278381
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",pci_get_device,pci_get_device() function that returns a PCI device object,"When the returned pci_dev pointer is no longer needed, its reference count must be decremented by calling pci_dev_put()",pci_get_device acquires a reference to a PCI device object that must be released with pci_dev_put() to prevent reference leaks,Usage Example 1: pci_dev_put(dma_dev) called in both success and error paths; Usage Example 2: pci_dev_put(pdev) called after each pci_get_device() use; Usage Example 3: pci_dev_put(alim7101_pmu) and pci_dev_put(ali1543_south) called for cleanup,0.376589298248291
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",class_for_each_device,class_for_each_device function that iterates over devices in a class,"Each device object returned by class_dev_iter_next() must have its reference count decremented after the user callback returns, typically by calling put_device()","The function acquires device objects through class_dev_iter_next() which likely increments reference counts, but does not release them after calling the user callback","class_for_each_device:while ((dev = class_dev_iter_next(&iter))): gets device objects that may have incremented refcounts; class_for_each_device:error = fn(dev, data): calls user function but no device_put() or equivalent after",0.374855637550354
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",pci_get_subsys,Function pci_get_subsys that searches for and returns a reference to a PCI device,"When the returned pci_dev pointer is no longer needed, its reference count must be decremented by calling pci_dev_put() to prevent memory leaks",pci_get_subsys acquires a reference to a PCI device object that must be released with pci_dev_put() when no longer needed,Usage Example 1: speedstep_detect_chipset() calls pci_dev_put(hostbridge) to release the reference; Usage Example 2: nforce2_fsb_read() missing pci_dev_put(nforce2_sub5) - potential reference leak; Usage Example 3: nforce2_detect_chipset() missing pci_dev_put(nforce2_dev) - potential reference leak,0.3736975789070129
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",class_find_device,class_find_device() function that finds and returns a device with incremented reference count,"When the returned device object is no longer needed, its reference count must be decremented by calling put_device() to balance the get_device() call made internally","class_find_device() calls get_device() on the found device before returning it, incrementing its reference count. The caller must call put_device() to decrement the reference count when done.",class_find_device:14: 'get_device(dev);' - increments reference count on found device; usage example 1: shows proper put_device(dev) call in error path with comment '/* matches class_find_device() above */'; usage example 3: shows put_device(mgr_dev) call when __fpga_mgr_get fails; usage example 2: missing put_device() call - potential reference leak,0.3712582588195801
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",bus_find_device,bus_find_device function that searches for and returns a device object,The returned device object has an incremented reference count and must be released with put_device() when no longer needed,"Function calls get_device() before returning found device, requiring caller to balance with put_device()",bus_find_device:get_device(dev); - increments reference count before return; Usage Example 1: put_device(dev); - properly releases reference; Usage Example 2: missing put_device() call - reference leak; Usage Example 3: put_device(dev); - properly releases reference,0.3695325255393982
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",drm_dev_get,A call to drm_dev_get() that acquires a reference to a DRM device object,The acquired DRM device reference must be released by calling drm_dev_put() when the device object is no longer needed to prevent reference count leaks,"drm_dev_get() increments the reference count of a DRM device object, and the acquired reference must be properly released to prevent memory leaks",drm_dev_get.c:3: 'kref_get(&dev->ref)' - increments reference count; usage example 1: drm_client_init() calls drm_dev_get(dev) but no corresponding drm_dev_put() in success path; usage example 3: drm_minor_acquire() shows proper pairing - calls drm_dev_get() and drm_dev_put() in error case,0.3695172071456909
e3862093ee93,A call to of_phy_find_device() followed by phy_device_remove().,The returned phy_device must be freed with phy_device_free() to balance the refcount.,Function that acquires a reference-counted device object,"When the device object is no longer needed, its reference count must be decremented by calling the appropriate release function",ssam_device_get,A call to ssam_device_get() that increments the reference count of an SSAM device,The returned ssam_device must have its reference count decremented with ssam_device_put() or put_device() when no longer needed,"Function increments device reference count, requiring caller to balance with release",get_device(&sdev->dev) increments reference count; Linux device model requires balanced get/put operations,0.3675415515899658
